humidity,temp,dewSpread,cloudLow,cloudMid,cloudHigh,cloudTotal,wind,pressure,precip24,precip48,precipToday,wetThenClear,nightCloudHigh,nightCloudTotal,nightCloudLow,nightCooling,windDir,humidityNight,humidityRise,elevation,month,label,date,lat,lon,source
95.75,11.100000000000001,0.625,100,20,94.75,100,4.1499999999999995,1018.95,0,0,1.2000000000000002,0,84.2,100,100,0.6999999999999993,29,95.4,0.3499999999999943,1817,10,1,2024-10-06,28.91,118.06,xhs-search
58,2.9000000000000004,7.449999999999999,59.75,82,73,95.75,4.275,1028.65,9.1,68.19999999999999,0.2,0,98.2,100,83.8,3.0499999999999994,164,62.4,-4.399999999999999,3077,10,1,2024-10-01,29.52,103.33,xhs-search
57.25,11.575,8.149999999999999,0,0,0,0,9.875,1024.35,0,13.4,0,0,0,0,0,4.816666666666666,284,50.4,6.850000000000001,1291,9,1,2024-09-22,39.97,116.06,xhs-search
94.5,23.225,0.9249999999999998,75.25,59.25,93,99.75,7.0249999999999995,1006.675,2.6,3.4,11.5,0,79.8,95.6,43.2,2.2666666666666693,68,93.8,0.7000000000000028,1918,9,1,2024-09-15,27.51,114.15,xhs-search
95,9.775,0.7250000000000005,42.75,1,0,43.5,1.4749999999999999,1016,6.1000000000000005,10.499999999999998,3.5000000000000004,1,4.6,75.8,71,1.2333333333333325,333,97,-2,3866,9,1,2024-09-08,30.1,102.47,xhs-search
85.75,19.5,2.4499999999999993,4,0,80.75,81.75,10.075,1007.5,0.6,0.6,1.1,0,99.2,99.2,2.2,1.5833333333333357,178,81.6,4.150000000000006,1545,9,1,2024-09-01,36.25,117.1,xhs-search
98.75,18.049999999999997,0.22499999999999964,0.5,11.25,7,17.75,3.625,1011.25,4.7,6.4,14.899999999999999,1,58.6,68.2,4,2.9166666666666643,274,99.6,-0.8499999999999943,2240,8,1,2024-08-18,39.97,115.5,xhs-search
72.75,17.8,5.025,29.75,19.75,0,43.25,7.825,997.525,0.4,32.00000000000001,0.1,0,0,13,8.6,3.5,276,68.4,4.349999999999994,2303,8,1,2024-08-11,39.97,115.46,xhs-search
79.25,13.625,3.5500000000000003,0,0,84.25,84.25,5,1010.5,0,0,0.4,0,93.8,93.8,0,4.049999999999997,151,72.4,6.849999999999994,1864,5,1,2024-05-19,30.13,118.17,xhs-search
100,19.375,0.024999999999999467,100,18.75,98,100,4.575,1012.8499999999999,12,12,3.8999999999999995,0,96,100,100,1.1666666666666679,260,99.8,0.20000000000000284,1918,5,1,2024-05-12,27.51,114.15,xhs-search
100,10.5,0,100,70,76.25,100,3.3249999999999997,1008.5500000000001,18.1,27.200000000000003,18.699999999999996,0,100,100,66.6,1.8666666666666654,315,100,0,1817,5,1,2024-05-05,28.91,118.06,xhs-search
88,13.325,1.9499999999999997,100,0.75,0.25,100,2.65,1010.0999999999999,0,0.4,0.5,0,5.6,92.8,89.8,5.249999999999998,27,94.4,-6.400000000000006,3660,4,1,2024-04-28,29.66,102.35,xhs-search
81.25,2.5999999999999996,2.9,9.5,11.75,7.25,25.75,2.45,1012.95,19.4,24.9,3.3,1,45.6,56.6,10.6,1.2500000000000004,104,88,-6.75,3077,4,1,2024-04-21,29.52,103.33,xhs-search
100,14.325,0,100,12.75,76,100,2.5000000000000004,1007.4750000000001,6.999999999999999,7.8999999999999995,9.199999999999998,0,88.6,100,82,0.8499999999999996,360,99.6,0.4000000000000057,1474,4,1,2024-04-14,29.56,115.97,xhs-search
99.25,-0.875,0.12500000000000003,100,93.5,98.75,100,2.8,1015.975,10,14.200000000000001,5.599999999999999,0,48,100,100,1.0833333333333333,66,99.6,-0.3499999999999943,3866,4,1,2024-04-07,30.1,102.47,xhs-search
86.25,11.475000000000001,2.2750000000000004,0.25,100,100,100,3.375,1008.725,0,0,13.9,0,100,100,0.2,1.9166666666666679,342,82.2,4.049999999999997,1864,3,1,2024-03-31,30.13,118.17,xhs-search
39.75,5.3999999999999995,12.6,0,93.5,0,93.5,11.675,1016.65,0,0,0.2,0,0.8,59.4,0,6.466666666666665,111,41.6,-1.8500000000000014,1545,3,1,2024-03-24,36.25,117.1,xhs-search
71.25,8.625,4.9,100,22.25,2,100,6.1000000000000005,1019.7,1.4000000000000004,3.300000000000001,1.2,0,0,100,100,1.6333333333333346,77,77.6,-6.349999999999994,3660,3,1,2024-03-17,29.66,102.35,xhs-search
